JDAY,K,I,EX_TOXIN_1,EX_TOXIN_2,EX_TOXIN_3,EX_TOXIN_4,IN_TOXIN_1,IN_TOXIN_2,IN_TOXIN_3,IN_TOXIN_4,CTESS_TOXIN_1,CTESS_TOXIN_2,CTESS_TOXIN_3,CTESS_TOXIN_4,ALG_1,
    67.104,   8,  28,  0.3739E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1999E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7704E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4086E-01,
    67.104,  15,  28,  0.3656E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2613E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1142E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5178E-01,
    67.201,   8,  28,  0.3897E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2746E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1201E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5614E-01,
    67.201,  15,  28,  0.3652E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2221E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.9074E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4381E-01,
    67.306,   8,  28,  0.4110E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3656E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1723E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7423E-01,
    67.306,  15,  28,  0.3604E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1788E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6531E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3523E-01,
    67.403,   8,  28,  0.4342E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4314E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2093E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.8694E-01,
    67.403,  15,  28,  0.3520E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1463E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4681E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2889E-01,
    67.500,   8,  28,  0.4572E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4514E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2189E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.9014E-01,
    67.500,  15,  28,  0.3389E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1269E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3665E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2524E-01,
    67.604,   8,  28,  0.4765E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3985E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1852E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7851E-01,
    67.604,  15,  28,  0.3219E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1213E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3525E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2428E-01,
    67.701,   8,  28,  0.4869E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3078E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1296E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6026E-01,
    67.701,  15,  28,  0.3088E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1257E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3942E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2526E-01,
    67.806,   8,  28,  0.4925E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2198E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7584E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4307E-01,
    67.806,  15,  28,  0.2986E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1356E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4651E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2725E-01,
    67.903,   8,  28,  0.4950E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1728E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4711E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3413E-01,
    67.903,  15,  28,  0.2889E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1428E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5192E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2861E-01,
    68.000,   8,  28,  0.4967E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1624E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4061E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3255E-01,
