Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   109.500,      0.00,      0.24,      0.24,      0.24,      0.27,      0.29,      0.29,      0.28,      0.29,      0.29,      0.30,      0.32,      0.32,      0.32,      0.32,      0.31,      0.31,      0.30,      0.29,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.26,      0.26,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   110.500,      0.00,      0.23,      0.23,      0.25,      0.28,      0.30,      0.31,      0.30,      0.30,      0.30,      0.30,      0.31,      0.31,      0.32,      0.32,      0.32,      0.30,      0.29,      0.29,      0.28,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   111.500,      0.00,      0.22,      0.22,      0.28,      0.30,      0.32,      0.32,      0.31,      0.30,      0.31,      0.32,      0.32,      0.32,      0.32,      0.31,      0.31,      0.31,      0.29,      0.29,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   112.500,      0.00,      0.21,      0.21,      0.33,      0.30,      0.30,      0.31,      0.31,      0.31,      0.31,      0.32,      0.33,      0.33,      0.33,      0.32,      0.32,      0.31,      0.30,      0.29,      0.29,      0.28,      0.28,      0.28,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   113.500,      0.00,      0.21,      0.20,      0.35,      0.34,      0.31,      0.31,      0.31,      0.32,      0.32,      0.33,      0.33,      0.33,      0.33,      0.33,      0.33,      0.32,      0.30,      0.29,      0.29,      0.29,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   114.500,      0.00,      0.21,      0.19,      0.36,      0.34,      0.33,      0.32,      0.33,      0.33,      0.33,      0.34,      0.34,      0.34,      0.34,      0.34,      0.32,      0.31,      0.30,      0.29,      0.29,      0.29,      0.29,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   115.500,      0.00,      0.23,      0.20,      0.41,      0.35,      0.37,      0.34,      0.34,      0.34,      0.34,      0.34,      0.34,      0.34,      0.33,      0.32,      0.32,      0.32,      0.31,      0.30,      0.29,      0.29,      0.29,      0.29,      0.29,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   116.500,      0.00,      0.23,      0.22,      0.29,      0.31,      0.35,      0.38,      0.38,      0.37,      0.37,      0.36,      0.37,      0.36,      0.36,      0.36,      0.36,      0.35,      0.33,      0.30,      0.30,      0.30,      0.29,      0.29,      0.29,      0.29,      0.29,      0.28,      0.28,      0.28,      0.28,      0.28,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   117.500,      0.00,      0.21,      0.21,      0.26,      0.31,      0.35,      0.36,      0.37,      0.38,      0.38,      0.37,      0.35,      0.34,      0.33,      0.32,      0.32,      0.31,      0.31,      0.30,      0.30,      0.30,      0.29,      0.29,      0.29,      0.29,      0.29,      0.29,      0.28,      0.28,      0.28,      0.28,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),   118.500,      0.00,      0.20,      0.19,      0.26,      0.37,      0.38,      0.37,      0.36,      0.35,      0.35,      0.35,      0.34,      0.34,      0.34,      0.33,      0.33,      0.33,      0.33,      0.32,      0.31,      0.31,      0.30,      0.30,      0.30,      0.29,      0.29,      0.29,      0.29,      0.29,      0.29,      0.29,      0.00,
