 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   98.7500,     10.43,     12.60,    110.00,
   98.8750,      9.90,     12.60,    110.00,
   99.0000,      9.81,     12.60,    110.00,
   99.1250,      9.85,     12.60,    110.00,
   99.2500,     10.26,     12.60,    110.00,
   99.3750,     10.88,     12.60,    110.00,
   99.5000,     12.04,     12.60,    110.00,
   99.6250,     12.48,     12.60,    110.00,
   99.7500,     13.00,     12.60,    110.00,
   99.8750,     13.28,     12.60,    110.00,
  100.0000,     13.35,     12.60,    110.00,
  100.1250,     13.33,     12.60,    110.00,
  100.2500,     12.91,     12.60,    110.00,
  100.3750,     12.63,     12.60,    110.00,
  100.5000,     12.61,     12.60,    110.00,
  100.6250,     13.10,     12.60,    110.00,
  100.7500,     13.22,     12.60,    110.00,
  100.8750,     13.25,     12.60,    110.00,
  101.0000,     13.70,     12.60,    110.00,
  101.1250,     13.67,     12.60,    110.00,
  101.2500,     13.60,     12.60,    110.00,
  101.3750,     12.92,     12.60,    110.00,
  101.5000,     12.59,     12.60,    110.00,
  101.6250,     13.01,     12.60,    110.00,
  101.7500,     12.89,     12.60,    110.00,
  101.8750,     12.48,     12.60,    110.00,
  102.0000,     12.24,     12.60,    110.00,
  102.1250,     12.04,     12.60,    110.00,
  102.2500,     11.78,     12.60,    110.00,
  102.3750,     11.54,     12.60,    110.00,
  102.5000,     11.49,     12.60,    110.00,
  102.6250,     11.61,     12.60,    110.00,
  102.7500,     11.68,     12.60,    110.00,
  102.8750,     11.61,     12.60,    110.00,
  103.0000,     11.63,     12.60,    110.00,
  103.1250,     11.83,     12.60,    110.00,
  103.2500,     11.93,     12.60,    110.00,
  103.3750,     11.98,     12.60,    110.00,
  103.5000,     12.03,     12.60,    110.00,
  103.6250,     12.00,     12.60,    110.00,
  103.7500,     11.88,     12.60,    110.00,
  103.8750,     11.72,     12.60,    110.00,
  104.0000,     11.37,     12.60,    110.00,
  104.1250,     10.92,     12.60,    110.00,
  104.2500,     10.72,     12.60,    110.00,
  104.3750,     10.61,     12.60,    110.00,
  104.5000,     10.72,     12.60,    110.00,
  104.6250,     11.05,     12.60,    110.00,
  104.7500,     11.42,     12.60,    110.00,
  104.8750,     11.72,     12.60,    110.00,
  105.0000,     12.81,     12.60,    110.00,
  105.1250,     13.02,     12.60,    110.00,
  105.2500,     13.09,     12.60,    110.00,
  105.3750,     13.10,     12.60,    110.00,
  105.5000,     13.06,     12.60,    110.00,
  105.6250,     13.10,     12.60,    110.00,
  105.7500,     12.91,     12.60,    110.00,
  105.8750,     12.88,     12.60,    110.00,
  106.0000,     12.82,     12.60,    110.00,
  106.1250,     12.62,     12.60,    110.00,
  106.2500,     12.57,     12.60,    110.00,
  106.3750,     12.68,     12.60,    110.00,
  106.5000,     12.72,     12.60,    110.00,
  106.6250,     12.84,     12.60,    110.00,
  106.7500,     12.99,     12.60,    110.00,
  106.8750,     12.99,     12.60,    110.00,
  107.0000,     13.09,     12.60,    110.00,
  107.1250,     13.18,     12.60,    110.00,
  107.2500,     12.72,     12.60,    110.00,
  107.3750,     12.38,     12.60,    110.00,
  107.5000,     11.89,     12.60,    110.00,
  107.6250,     11.63,     12.60,    110.00,
  107.7500,     11.42,     12.60,    110.00,
  107.8750,     11.21,     12.60,    110.00,
  108.0000,     11.14,     12.60,    110.00,
  108.1250,     11.28,     12.60,    110.00,
  108.2500,     11.42,     12.60,    110.00,
  108.3750,     11.75,     12.60,    110.00,
  108.5000,     12.15,     12.60,    110.00,
  108.6250,     12.25,     12.60,    110.00,
  108.7500,     12.25,     12.60,    110.00,
  108.8750,     12.34,     12.60,    110.00,
  109.0000,     12.19,     12.60,    110.00,
  109.1250,     11.96,     12.60,    110.00,
  109.2500,     11.77,     12.60,    110.00,
  109.3750,     11.62,     12.60,    110.00,
  109.5000,     11.52,     12.60,    110.00,
  109.6250,     11.41,     12.60,    110.00,
  109.7500,     11.44,     12.60,    110.00,
  109.8750,     11.56,     12.60,    110.00,
  110.0000,     11.70,     12.60,    110.00,
  110.1250,     11.86,     12.60,    110.00,
  110.2500,     12.03,     12.60,    110.00,
  110.3750,     12.14,     12.60,    110.00,
  110.5000,     12.34,     12.60,    110.00,
  110.6250,     12.54,     12.60,    110.00,
  110.7500,     12.53,     12.60,    110.00,
  110.8750,     12.23,     12.60,    110.00,
  111.0000,     11.91,     12.60,    110.00,
  111.1250,     11.83,     12.60,    110.00,
  111.2500,     11.83,     12.60,    110.00,
  111.3750,     11.90,     12.60,    110.00,
  111.5000,     12.07,     12.60,    110.00,
  111.6250,     12.27,     12.60,    110.00,
  111.7500,     12.31,     12.60,    110.00,
  111.8750,     12.27,     12.60,    110.00,
  112.0000,     12.27,     12.60,    110.00,
  112.1250,     12.17,     12.60,    110.00,
  112.2500,     12.06,     12.60,    110.00,
  112.3750,     12.00,     12.60,    110.00,
  112.5000,     12.04,     12.60,    110.00,
  112.6250,     12.08,     12.60,    110.00,
  112.7500,     12.11,     12.60,    110.00,
  112.8750,     11.95,     12.60,    110.00,
  113.0000,     11.87,     12.60,    110.00,
  113.1250,     11.80,     12.60,    110.00,
  113.2500,     11.62,     12.60,    110.00,
  113.3750,     11.70,     12.60,    110.00,
  113.5000,     11.86,     12.60,    110.00,
  113.6250,     11.92,     12.60,    110.00,
  113.7500,     11.84,     12.60,    110.00,
  113.8750,     11.84,     12.60,    110.00,
  114.0000,     11.82,     12.60,    110.00,
  114.1250,     11.73,     12.60,    110.00,
  114.2500,     11.76,     12.60,    110.00,
  114.3750,     11.97,     12.60,    110.00,
  114.5000,     12.24,     12.60,    110.00,
  114.6250,     12.30,     12.60,    110.00,
  114.7500,     12.23,     12.60,    110.00,
  114.8750,     12.29,     12.60,    110.00,
  115.0000,     12.12,     12.60,    110.00,
  115.1250,     11.91,     12.60,    110.00,
  115.2500,     11.87,     12.60,    110.00,
  115.3750,     11.86,     12.60,    110.00,
  115.5000,     12.00,     12.60,    110.00,
  115.6250,     12.17,     12.60,    110.00,
  115.7500,     12.22,     12.60,    110.00,
  115.8750,     12.17,     12.60,    110.00,
  116.0000,     11.97,     12.60,    110.00,
  116.1250,     11.59,     12.60,    110.00,
  116.2500,     11.57,     12.60,    110.00,
  116.3750,     11.46,     12.60,    110.00,
  116.5000,     11.50,     12.60,    110.00,
  116.6250,     11.61,     12.60,    110.00,
  116.7500,     11.79,     12.60,    110.00,
  116.8750,     12.12,     12.60,    110.00,
  117.0000,     12.18,     12.60,    110.00,
  117.1250,     12.33,     12.60,    110.00,
  117.2500,     12.43,     12.60,    110.00,
  117.3750,     12.34,     12.60,    110.00,
  117.5000,     12.31,     12.60,    110.00,
  117.6250,     12.18,     12.60,    110.00,
  117.7500,     12.03,     12.60,    110.00,
  117.8750,     11.75,     12.60,    110.00,
  118.0000,     11.61,     12.60,    110.00,
  118.1250,     11.64,     12.60,    110.00,
  118.2500,     11.61,     12.60,    110.00,
  118.3750,     11.66,     12.60,    110.00,
  118.5000,     11.93,     12.60,    110.00,
  118.6250,     12.68,     12.60,    110.00,
  118.7500,     13.24,     12.60,    110.00,
  118.8750,     12.75,     12.60,    110.00,
  119.0000,     11.85,     12.60,    110.00,
  119.1250,     11.01,     12.60,    110.00,
  119.2500,     10.79,     12.60,    110.00,
  119.3750,     10.76,     12.60,    110.00,
  119.5000,     10.86,     12.60,    110.00,
  119.6250,     11.41,     12.60,    110.00,
  119.7500,     11.89,     12.60,    110.00,
  119.8750,     12.31,     12.60,    110.00,
  120.0000,     11.96,     12.60,    110.00,
  120.1250,     11.39,     12.60,    110.00,
  120.2500,     11.24,     12.60,    110.00,
  120.3750,     11.25,     12.60,    110.00,
  120.5000,     11.19,     12.60,    110.00,
  120.6250,     11.33,     12.60,    110.00,
  120.7500,     11.74,     12.60,    110.00,
  120.8750,     11.91,     12.60,    110.00,
  121.0000,     11.98,     12.60,    110.00,
  121.1250,     11.84,     12.60,    110.00,
  121.2500,     11.61,     12.60,    110.00,
  121.3750,     11.36,     12.60,    110.00,
  121.5000,     11.22,     12.60,    110.00,
  121.6250,     11.09,     12.60,    110.00,
  121.7500,     11.27,     12.60,    110.00,
  121.8750,     11.54,     12.60,    110.00,
  122.0000,     12.07,     12.60,    110.00,
  122.1250,     12.31,     12.60,    110.00,
  122.2500,     12.55,     12.60,    110.00,
  122.3750,     12.41,     12.60,    110.00,
  122.5000,     12.07,     12.60,    110.00,
  122.6250,     11.84,     12.60,    110.00,
  122.7500,     11.72,     12.60,    110.00,
  122.8750,     11.78,     12.60,    110.00,
  123.0000,     12.15,     12.60,    110.00,
  123.1250,     12.59,     12.60,    110.00,
  123.2500,     12.90,     12.60,    110.00,
  123.3750,     13.03,     12.60,    110.00,
  123.5000,     12.84,     12.60,    110.00,
  123.6250,     12.47,     12.60,    110.00,
  123.7500,     12.17,     12.60,    110.00,
  123.8750,     12.11,     12.60,    110.00,
  124.0000,     12.04,     12.60,    110.00,
  124.1250,     12.47,     12.60,    110.00,
  124.2500,     13.03,     12.60,    110.00,
  124.3750,     13.29,     12.60,    110.00,
  124.5000,     13.12,     12.60,    110.00,
  124.6250,     12.62,     12.60,    110.00,
  124.7500,     12.09,     12.60,    110.00,
  124.8750,     11.60,     12.60,    110.00,
  125.0000,     11.45,     12.60,    110.00,
  125.1250,     11.61,     12.60,    110.00,
  125.2500,     12.29,     12.60,    110.00,
  125.3750,     12.92,     12.60,    110.00,
  125.5000,     13.01,     12.60,    110.00,
  125.6250,     13.05,     12.60,    110.00,
  125.7500,     12.65,     12.60,    110.00,
  125.8750,     12.18,     12.60,    110.00,
  126.0000,     11.89,     12.60,    110.00,
  126.1250,     11.92,     12.60,    110.00,
  126.2500,     12.14,     12.60,    110.00,
  126.3750,     12.55,     12.60,    110.00,
  126.5000,     12.99,     12.60,    110.00,
  126.6250,     12.99,     12.60,    110.00,
  126.7500,     12.86,     12.60,    110.00,
  126.8750,     12.47,     12.60,    110.00,
  127.0000,     12.09,     12.60,    110.00,
  127.1250,     11.80,     12.60,    110.00,
  127.2500,     11.69,     12.60,    110.00,
  127.3750,     11.72,     12.60,    110.00,
  127.5000,     11.90,     12.60,    110.00,
  127.6250,     12.28,     12.60,    110.00,
  127.7500,     12.61,     12.60,    110.00,
  127.8750,     12.80,     12.60,    110.00,
  128.0000,     12.75,     12.60,    110.00,
  128.1250,     12.59,     12.60,    110.00,
  128.2500,     12.25,     12.60,    110.00,
  128.3750,     12.07,     12.60,    110.00,
  128.5000,     12.09,     12.60,    110.00,
  128.6250,     12.34,     12.60,    110.00,
  128.7500,     12.46,     12.60,    110.00,
  128.8750,     12.53,     12.60,    110.00,
  129.0000,     12.41,     12.60,    110.00,
  129.1250,     12.30,     12.60,    110.00,
  129.2500,     12.42,     12.60,    110.00,
  129.3750,     12.83,     12.60,    110.00,
  129.5000,     12.94,     12.60,    110.00,
  129.6250,     13.20,     12.60,    110.00,
  129.7500,     13.17,     12.60,    110.00,
  129.8750,     12.91,     12.60,    110.00,
  130.0000,     12.84,     12.60,    110.00,
  130.1250,     12.75,     12.60,    110.00,
  130.2500,     12.72,     12.60,    110.00,
  130.3750,     12.90,     12.60,    110.00,
  130.5000,     12.83,     12.60,    110.00,
  130.6250,     12.68,     12.60,    110.00,
  130.7500,     12.44,     12.60,    110.00,
  130.8750,     12.08,     12.60,    110.00,
  131.0000,     12.27,     12.60,    110.00,
  131.1250,     12.53,     12.60,    110.00,
  131.2500,     12.59,     12.60,    110.00,
  131.3750,     12.84,     12.60,    110.00,
  131.5000,     13.17,     12.60,    110.00,
  131.6250,     13.11,     12.60,    110.00,
  131.7500,     13.24,     12.60,    110.00,
  131.8750,     13.28,     12.60,    110.00,
  132.0000,     12.91,     12.60,    110.00,
  132.1250,     12.74,     12.60,    110.00,
  132.2500,     12.75,     12.60,    110.00,
  132.3750,     12.60,     12.60,    110.00,
  132.5000,     12.82,     12.60,    110.00,
  132.6250,     13.09,     12.60,    110.00,
  132.7500,     12.86,     12.60,    110.00,
  132.8750,     13.04,     12.60,    110.00,
  133.0000,     12.65,     12.60,    110.00,
  133.1250,     12.35,     12.60,    110.00,
  133.2500,     12.53,     12.60,    110.00,
  133.3750,     12.56,     12.60,    110.00,
  133.5000,     12.97,     12.60,    110.00,
  133.6250,     13.33,     12.60,    110.00,
  133.7500,     12.98,     12.60,    110.00,
  133.8750,     13.32,     12.60,    110.00,
  134.0000,     12.98,     12.60,    110.00,
  134.1250,     12.88,     12.60,    110.00,
  134.2500,     13.16,     12.60,    110.00,
  134.3750,     13.13,     12.60,    110.00,
  134.5000,     13.14,     12.60,    110.00,
  134.6250,     13.13,     12.60,    110.00,
  134.7500,     12.74,     12.60,    110.00,
  134.8750,     12.87,     12.60,    110.00,
  135.0000,     12.65,     12.60,    110.00,
  135.1250,     12.63,     12.60,    110.00,
  135.2500,     12.60,     12.60,    110.00,
  135.3750,     12.08,     12.60,    110.00,
  135.5000,     11.77,     12.60,    110.00,
  135.6250,     11.74,     12.60,    110.00,
  135.7500,     11.80,     12.60,    110.00,
  135.8750,     12.89,     12.60,    110.00,
  136.0000,     13.50,     12.60,    110.00,
  136.1250,     13.67,     12.60,    110.00,
  136.2500,     13.72,     12.60,    110.00,
  136.3750,     13.10,     12.60,    110.00,
  136.5000,     12.51,     12.60,    110.00,
  136.6250,     12.35,     12.60,    110.00,
  136.7500,     12.06,     12.60,    110.00,
  136.8750,     12.27,     12.60,    110.00,
  137.0000,     12.60,     12.60,    110.00,
  137.1250,     13.07,     12.60,    110.00,
  137.2500,     13.92,     12.60,    110.00,
  137.3750,     13.84,     12.60,    110.00,
  137.5000,     13.76,     12.60,    110.00,
  137.6250,     13.05,     12.60,    110.00,
  137.7500,     12.34,     12.60,    110.00,
  137.8750,     12.03,     12.60,    110.00,
  138.0000,     11.92,     12.60,    110.00,
  138.1250,     12.42,     12.60,    110.00,
