$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:115.     

JDAY,QWD(m3s-1)
   126.500,   12.6000
   126.604,   12.6000
   126.701,   12.6000
   126.806,   12.6000
   126.903,   12.6000
   127.000,   12.6000
   127.104,   12.6000
   127.201,   12.6000
   127.306,   12.6000
   127.403,   12.6000
   127.500,   12.6000
   127.604,   12.6000
   127.701,   12.6000
   127.806,   12.6000
   127.903,   12.6000
   128.000,   12.6000
   128.104,   12.6000
   128.201,   12.6000
   128.306,   12.6000
   128.403,   12.6000
   128.500,   12.6000
   128.604,   12.6000
   128.701,   12.6000
   128.806,   12.6000
   128.903,   12.6000
   129.000,   12.6000
   129.104,   12.6000
   129.201,   12.6000
   129.306,   12.6000
   129.403,   12.6000
   129.500,   12.6000
   129.604,   12.6000
   129.701,   12.6000
   129.806,   12.6000
   129.903,   12.6000
   130.000,   12.6000
   130.104,   12.6000
   130.201,   12.6000
   130.306,   12.6000
   130.403,   12.6000
   130.500,   12.6000
   130.604,   12.6000
   130.701,   12.6000
   130.806,   12.6000
   130.903,   12.6000
   131.000,   12.6000
   131.104,   12.6000
   131.201,   12.6000
   131.306,   12.6000
   131.403,   12.6000
   131.500,   12.6000
   131.604,   12.6000
   131.701,   12.6000
   131.806,   12.6000
   131.903,   12.6000
   132.000,   12.6000
   132.104,   12.6000
   132.201,   12.6000
   132.306,   12.6000
   132.403,   12.6000
   132.500,   12.6000
   132.604,   12.6000
   132.701,   12.6000
   132.806,   12.6000
   132.903,   12.6000
   133.000,   12.6000
   133.104,   12.6000
   133.201,   12.6000
   133.306,   12.6000
   133.403,   12.6000
   133.500,   12.6000
   133.604,   12.6000
   133.701,   12.6000
   133.806,   12.6000
   133.903,   12.6000
   134.000,   12.6000
   134.104,   12.6000
   134.201,   12.6000
   134.306,   12.6000
   134.403,   12.6000
   134.500,   12.6000
   134.604,   12.6000
   134.701,   12.6000
   134.806,   12.6000
   134.903,   12.6000
   135.000,   12.6000
   135.104,   12.6000
   135.201,   12.6000
   135.306,   12.6000
   135.403,   12.6000
   135.500,   12.6000
   135.604,   12.6000
   135.701,   12.6000
   135.806,   12.6000
   135.903,   12.6000
   136.000,   12.6000
   136.104,   12.6000
   136.201,   12.6000
   136.306,   12.6000
   136.403,   12.6000
   136.500,   12.6000
   136.604,   12.6000
   136.701,   12.6000
   136.806,   12.6000
   136.903,   12.6000
   137.000,   12.6000
   137.104,   12.6000
   137.201,   12.6000
   137.306,   12.6000
   137.403,   12.6000
   137.500,   12.6000
   137.604,   12.6000
   137.701,   12.6000
   137.806,   12.6000
   137.903,   12.6000
   138.000,   12.6000
   138.104,   12.6000
   138.201,   12.6000
   138.306,   12.6000
   138.403,   12.6000
   138.500,   12.6000
   138.604,   12.6000
   138.701,   12.6000
   138.806,   12.6000
   138.903,   12.6000
   139.000,   12.6000
   139.104,   12.6000
   139.201,   12.6000
   139.306,   12.6000
   139.403,   12.6000
   139.500,   12.6000
   139.604,   12.6000
   139.701,   12.6000
   139.806,   12.6000
   139.903,   12.6000
   140.000,   12.6000
   140.104,   12.6000
   140.201,   12.6000
   140.306,   12.6000
   140.403,   12.6000
   140.500,   12.6000
   140.604,   12.6000
   140.701,   12.6000
   140.806,   12.6000
   140.903,   12.6000
   141.000,   12.6000
   141.104,   12.6000
   141.201,   12.6000
   141.306,   12.6000
   141.403,   12.6000
   141.500,   12.6000
   141.604,   12.6000
   141.701,   12.6000
   141.806,   12.6000
   141.903,   12.6000
   142.000,   12.6000
   142.104,   12.6000
   142.201,   12.6000
   142.306,   12.6000
   142.403,   12.6000
   142.500,   12.6000
   142.604,   12.6000
   142.701,   12.6000
   142.806,   12.6000
   142.903,   12.6000
   143.000,   12.6000
   143.104,   12.6000
   143.201,   12.6000
   143.306,   12.6000
   143.403,   12.6000
   143.500,   12.6000
   143.604,   12.6000
   143.701,   12.6000
   143.806,   12.6000
   143.903,   12.6000
   144.000,   12.6000
   144.104,   12.6000
   144.201,   12.6000
   144.306,   12.6000
   144.403,   12.6000
   144.500,   12.6000
   144.604,   12.6000
   144.701,   12.6000
   144.806,   12.6000
   144.903,   12.6000
   145.000,   12.6000
   145.104,   12.6000
   145.201,   12.6000
   145.306,   12.6000
   145.403,   12.6000
   145.500,   12.6000
   145.604,   12.6000
   145.701,   12.6000
   145.806,   12.6000
   145.903,   12.6000
   146.000,   12.6000
   146.104,   12.6000
   146.201,   12.6000
   146.306,   12.6000
   146.403,   12.6000
   146.500,   12.6000
   146.604,   12.6000
   146.701,   12.6000
   146.806,   12.6000
   146.903,   12.6000
   147.000,   12.6000
   147.104,   12.6000
   147.201,   12.6000
   147.306,   12.6000
   147.403,   12.6000
   147.500,   12.6000
   147.604,   12.6000
   147.701,   12.6000
   147.806,   12.6000
   147.903,   12.6000
   148.000,   12.6000
   148.104,   12.6000
   148.201,   12.6000
   148.306,   12.6000
   148.403,   12.6000
   148.500,   12.6000
   148.604,   12.6000
   148.701,   12.6000
   148.806,   12.6000
   148.903,   12.6000
   149.000,   12.6000
   149.104,   12.6000
   149.201,   12.6000
   149.306,   12.6000
   149.403,   12.6000
   149.500,   12.6000
   149.604,   12.6000
   149.701,   12.6000
   149.806,   12.6000
   149.903,   12.6000
   150.000,   12.6000
   150.104,   12.6000
   150.201,   12.6000
   150.306,   12.6000
   150.403,   12.6000
   150.500,   12.6000
   150.604,   12.6000
   150.701,   12.6000
   150.806,   12.6000
   150.903,   12.6000
   151.000,   12.6000
   151.104,   12.6000
   151.201,   12.6000
   151.306,   12.6000
   151.403,   12.6000
   151.500,   12.6000
   151.604,   12.6000
   151.701,   12.6000
   151.806,   12.6000
   151.903,   12.6000
   152.000,   12.6000
   152.104,   12.6000
   152.201,   12.6000
   152.306,   12.6000
   152.403,   12.6000
   152.500,   12.6000
   152.604,   12.6000
   152.701,   12.6000
   152.806,   12.6000
   152.903,   12.6000
   153.000,   12.6000
   153.104,   12.6000
   153.201,   12.6000
   153.306,   12.6000
   153.403,   12.6000
   153.500,   12.6000
   153.604,   12.6000
   153.701,   12.6000
   153.806,   12.6000
   153.903,   12.6000
   154.000,   12.6000
   154.104,   12.6000
   154.201,   12.6000
   154.306,   12.6000
   154.403,   12.6000
   154.500,   12.6000
   154.604,   12.6000
   154.701,   12.6000
   154.806,   12.6000
   154.903,   12.6000
   155.000,   12.6000
   155.104,   12.6000
   155.201,   12.6000
   155.306,   12.6000
   155.403,   12.6000
   155.500,   12.6000
   155.604,   12.6000
   155.701,   12.6000
   155.806,   12.6000
   155.903,   12.6000
   156.000,   12.6000
   156.104,   12.6000
   156.201,   12.6000
   156.306,   12.6000
   156.403,   12.6000
   156.500,   12.6000
   156.604,   12.6000
   156.701,   12.6000
   156.806,   12.6000
   156.903,   12.6000
   157.000,   12.6000
   157.104,   12.6000
   157.201,   12.6000
   157.306,   12.6000
   157.403,   12.6000
   157.500,   12.6000
   157.604,   12.6000
   157.701,   12.6000
   157.806,   12.6000
   157.903,   12.6000
   158.000,   12.6000
   158.104,   12.6000
   158.201,   12.6000
   158.306,   12.6000
   158.403,   12.6000
   158.500,   12.6000
   158.604,   12.6000
   158.701,   12.6000
   158.806,   12.6000
   158.903,   12.6000
   159.000,   12.6000
   159.104,   12.6000
   159.201,   12.6000
   159.306,   12.6000
   159.403,   12.6000
   159.500,   12.6000
   159.604,   12.6000
   159.701,   12.6000
   159.806,   12.6000
   159.903,   12.6000
   160.000,   12.6000
   160.104,   12.6000
   160.201,   12.6000
   160.306,   12.6000
   160.403,   12.6000
   160.500,   12.6000
   160.604,   12.6000
   160.701,   12.6000
   160.806,   12.6000
   160.903,   12.6000
   161.000,   12.6000
   161.104,   12.6000
   161.201,   12.6000
   161.306,   12.6000
   161.403,   12.6000
   161.500,   12.6000
   161.604,   12.6000
   161.701,   12.6000
   161.806,   12.6000
   161.903,   12.6000
   162.000,   12.6000
   162.104,   12.6000
   162.201,   12.6000
   162.306,   12.6000
   162.403,   12.6000
   162.500,   12.6000
   162.604,   12.6000
   162.701,   12.6000
   162.806,   12.6000
   162.903,   12.6000
   163.000,   12.6000
   163.104,   12.6000
   163.201,   12.6000
   163.306,   12.6000
   163.403,   12.6000
   163.500,   12.6000
   163.604,   12.6000
   163.701,   12.6000
   163.806,   12.6000
   163.903,   12.6000
   164.000,   12.6000
   164.104,   12.6000
   164.201,   12.6000
   164.306,   12.6000
   164.403,   12.6000
   164.500,   12.6000
   164.604,   12.6000
   164.701,   12.6000
   164.806,   12.6000
   164.903,   12.6000
   165.000,   12.6000
   165.104,   12.6000
   165.201,   12.6000
   165.306,   12.6000
   165.403,   12.6000
   165.500,   12.6000
   165.604,   12.6000
   165.701,   12.6000
   165.806,   12.6000
   165.903,   12.6000
   166.000,   12.6000
   166.104,   12.6000
   166.201,   12.6000
   166.306,   12.6000
   166.403,   12.6000
   166.500,   12.6000
   166.604,   12.6000
   166.701,   12.6000
   166.806,   12.6000
   166.903,   12.6000
   167.000,   12.6000
   167.104,   12.6000
   167.201,   12.6000
   167.306,   12.6000
   167.403,   12.6000
   167.500,   12.6000
   167.604,   12.6000
   167.701,   12.6000
   167.806,   12.6000
   167.903,   12.6000
   168.000,   12.6000
   168.104,   12.6000
   168.201,   12.6000
   168.306,   12.6000
   168.403,   12.6000
   168.500,   12.6000
   168.604,   12.6000
   168.701,   12.6000
   168.806,   12.6000
   168.903,   12.6000
   169.000,   12.6000
   169.104,   12.6000
   169.201,   12.6000
   169.306,   12.6000
   169.403,   12.6000
   169.500,   12.6000
   169.604,   12.6000
   169.701,   12.6000
   169.806,   12.6000
   169.903,   12.6000
   170.000,   12.6000
   170.104,   12.6000
   170.201,   12.6000
   170.306,   12.6000
   170.403,   12.6000
   170.500,   12.6000
   170.604,   12.6000
   170.701,   12.6000
   170.806,   12.6000
   170.903,   12.6000
   171.000,   12.6000
   171.104,   12.6000
   171.201,   12.6000
   171.306,   12.6000
   171.403,   12.6000
   171.500,   12.6000
   171.604,   12.6000
   171.701,   12.6000
   171.806,   12.6000
   171.903,   12.6000
   172.000,   12.6000
   172.104,   12.6000
   172.201,   12.6000
   172.306,   12.6000
   172.403,   12.6000
   172.500,   12.6000
   172.604,   12.6000
   172.701,   12.6000
   172.806,   12.6000
   172.903,   12.6000
   173.000,   12.6000
   173.104,   12.6000
   173.201,   12.6000
   173.306,   12.6000
   173.403,   12.6000
   173.500,   12.6000
   173.604,   12.6000
   173.701,   12.6000
   173.806,   12.6000
   173.903,   12.6000
   174.000,   12.6000
   174.104,   12.6000
   174.201,   12.6000
   174.306,   12.6000
   174.403,   12.6000
   174.500,   12.6000
   174.604,   12.6000
   174.701,   12.6000
   174.806,   12.6000
   174.903,   12.6000
   175.000,   12.6000
   175.104,   12.6000
   175.201,   12.6000
   175.306,   12.6000
   175.403,   12.6000
   175.500,   12.6000
   175.604,   12.6000
   175.701,   12.6000
   175.806,   12.6000
   175.903,   12.6000
   176.000,   12.6000
   176.104,   12.6000
   176.201,   12.6000
   176.306,   12.6000
   176.403,   12.6000
   176.500,   12.6000
   176.604,   12.6000
   176.701,   12.6000
   176.806,   12.6000
   176.903,   12.6000
   177.000,   12.6000
   177.104,   12.6000
   177.201,   12.6000
   177.306,   12.6000
   177.403,   12.6000
   177.500,   12.6000
   177.604,   12.6000
   177.701,   12.6000
   177.806,   12.6000
   177.903,   12.6000
   178.000,   12.6000
   178.104,   12.6000
   178.201,   12.6000
   178.306,   12.6000
   178.403,   12.6000
   178.500,   12.6000
   178.604,   12.6000
   178.701,   12.6000
   178.806,   12.6000
   178.903,   12.6000
   179.000,   12.6000
   179.104,   12.6000
   179.201,   12.6000
   179.306,   12.6000
   179.403,   12.6000
   179.500,   12.6000
   179.604,   12.6000
   179.701,   12.6000
   179.806,   12.6000
   179.903,   12.6000
   180.000,   12.6000
   180.104,   12.6000
   180.201,   12.6000
   180.306,   12.6000
   180.403,   12.6000
   180.500,   12.6000
   180.604,   12.6000
   180.701,   12.6000
   180.806,   12.6000
   180.903,   12.6000
   181.000,   12.6000
   181.104,   12.6000
   181.201,   12.6000
   181.306,   12.6000
   181.403,   12.6000
   181.500,   12.6000
   181.604,   12.6000
   181.701,   12.6000
   181.806,   12.6000
   181.903,   12.6000
   182.000,   12.6000
   182.104,   12.6000
   182.201,   12.6000
   182.306,   12.6000
   182.403,   12.6000
   182.500,   12.6000
   182.604,   12.6000
   182.701,   12.6000
   182.806,   12.6000
   182.903,   12.6000
   183.000,   12.6000
   183.104,   12.6000
   183.201,   12.6000
   183.306,   12.6000
   183.403,   12.6000
   183.500,   12.6000
   183.604,   12.6000
   183.701,   12.6000
   183.806,   12.6000
   183.903,   12.6000
   184.000,   12.6000
   184.104,   12.6000
   184.201,   12.6000
   184.306,   12.6000
   184.403,   12.6000
   184.500,   12.6000
   184.604,   12.6000
   184.701,   12.6000
   184.806,   12.6000
   184.903,   12.6000
   185.000,   12.6000
   185.104,   12.6000
   185.201,   12.6000
   185.306,   12.6000
   185.403,   12.6000
   185.500,   12.6000
   185.604,   12.6000
   185.701,   12.6000
   185.806,   12.6000
   185.903,   12.6000
   186.000,   12.6000
   186.104,   12.6000
   186.201,   12.6000
   186.306,   12.6000
   186.403,   12.6000
   186.500,   12.6000
   186.604,   12.6000
   186.701,   12.6000
   186.806,   12.6000
   186.903,   12.6000
   187.000,   12.6000
   187.104,   12.6000
   187.201,   12.6000
   187.306,   12.6000
   187.403,   12.6000
   187.500,   12.6000
   187.604,   12.6000
   187.701,   12.6000
   187.806,   12.6000
   187.903,   12.6000
   188.000,   12.6000
   188.104,   12.6000
   188.201,   12.6000
   188.306,   12.6000
   188.403,   12.6000
   188.500,   12.6000
   188.604,   12.6000
   188.701,   12.6000
   188.806,   12.6000
   188.903,   12.6000
   189.000,   12.6000
   189.104,   12.6000
   189.201,   12.6000
   189.306,   12.6000
