$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,T(C)
   130.604,   19.83
   130.701,   19.89
   130.806,   19.83
   130.903,   19.74
   131.000,   19.71
   131.104,   19.62
   131.201,   19.46
   131.306,   19.26
   131.403,   19.28
   131.500,   19.55
   131.604,   19.79
   131.701,   19.88
   131.806,   20.01
   131.903,   20.06
   132.000,   20.05
   132.104,   20.03
   132.201,   20.03
   132.306,   20.02
   132.403,   19.99
   132.500,   20.06
   132.604,   20.29
   132.701,   20.44
   132.806,   20.54
   132.903,   20.59
   133.000,   20.53
   133.104,   20.43
   133.201,   20.45
   133.306,   20.47
   133.403,   20.39
   133.500,   20.38
   133.604,   20.54
   133.701,   20.58
   133.806,   20.63
   133.903,   20.65
   134.000,   20.63
   134.104,   20.63
   134.201,   20.61
   134.306,   20.62
   134.403,   20.66
   134.500,   20.77
   134.604,   20.99
   134.701,   21.16
   134.806,   21.27
   134.903,   21.34
   135.000,   21.37
   135.104,   21.34
   135.201,   21.28
   135.306,   21.16
   135.403,   20.86
   135.500,   20.44
   135.604,   20.30
   135.701,   20.19
   135.806,   20.44
   135.903,   20.69
   136.000,   20.67
   136.104,   20.56
   136.201,   20.44
   136.306,   20.28
   136.403,   20.03
   136.500,   19.75
   136.604,   19.59
   136.701,   19.18
   136.806,   18.72
   136.903,   18.65
   137.000,   18.69
   137.104,   18.74
   137.201,   18.95
   137.306,   19.01
   137.403,   19.12
   137.500,   19.25
   137.604,   19.41
   137.701,   19.55
   137.806,   19.61
   137.903,   19.62
   138.000,   19.63
   138.104,   19.71
   138.201,   19.77
   138.306,   19.80
   138.403,   19.96
   138.500,   20.34
   138.604,   20.89
   138.701,   21.28
   138.806,   21.45
   138.903,   21.47
   139.000,   21.45
   139.104,   21.40
   139.201,   21.37
   139.306,   21.37
   139.403,   21.43
   139.500,   21.63
   139.604,   21.82
   139.701,   21.91
   139.806,   21.92
   139.903,   21.96
   140.000,   22.05
   140.104,   22.05
   140.201,   22.03
   140.306,   22.01
   140.403,   22.02
   140.500,   21.99
   140.604,   21.91
   140.701,   21.77
   140.806,   21.67
   140.903,   21.76
   141.000,   21.87
   141.104,   21.87
   141.201,   21.82
   141.306,   21.78
   141.403,   21.83
   141.500,   21.96
   141.604,   22.15
   141.701,   22.25
   141.806,   22.32
   141.903,   22.34
   142.000,   22.41
   142.104,   22.44
   142.201,   22.39
   142.306,   22.36
   142.403,   22.35
   142.500,   22.35
   142.604,   22.37
   142.701,   22.21
   142.806,   22.00
   142.903,   22.14
   143.000,   22.24
   143.104,   22.24
   143.201,   22.21
   143.306,   22.15
   143.403,   22.12
   143.500,   22.16
   143.604,   22.21
   143.701,   22.29
   143.806,   22.31
   143.903,   22.26
   144.000,   22.24
   144.104,   22.16
   144.201,   22.12
   144.306,   22.08
   144.403,   22.09
   144.500,   22.12
   144.604,   22.26
   144.701,   22.35
   144.806,   22.36
   144.903,   22.33
   145.000,   22.27
   145.104,   22.18
   145.201,   22.10
   145.306,   22.08
   145.403,   22.13
   145.500,   22.26
   145.604,   22.44
   145.701,   22.58
   145.806,   22.62
   145.903,   22.52
   146.000,   22.42
   146.104,   22.41
   146.201,   22.52
   146.306,   22.63
   146.403,   22.73
   146.500,   22.90
   146.604,   22.98
   146.701,   22.96
   146.806,   22.76
   146.903,   22.62
   147.000,   22.64
   147.104,   22.79
   147.201,   22.94
   147.306,   23.10
   147.403,   23.15
   147.500,   23.06
   147.604,   22.87
   147.701,   22.75
   147.806,   22.77
   147.903,   23.07
   148.000,   23.32
   148.104,   23.53
   148.201,   23.55
   148.306,   23.54
   148.403,   23.46
   148.500,   23.29
   148.604,   23.21
   148.701,   23.36
   148.806,   23.54
   148.903,   23.74
   149.000,   23.84
   149.104,   23.79
   149.201,   23.72
   149.306,   23.68
   149.403,   23.70
   149.500,   23.71
   149.604,   23.72
   149.701,   23.74
   149.806,   23.84
   149.903,   24.01
   150.000,   24.11
   150.104,   24.11
   150.201,   24.07
   150.306,   24.06
   150.403,   24.09
   150.500,   24.16
   150.604,   24.28
   150.701,   24.43
   150.806,   24.48
   150.903,   24.48
   151.000,   24.46
   151.104,   24.37
   151.201,   24.28
   151.306,   24.21
   151.403,   24.16
   151.500,   24.19
   151.604,   24.37
   151.701,   24.41
   151.806,   24.51
   151.903,   24.40
   152.000,   24.32
   152.104,   24.28
   152.201,   24.25
   152.306,   24.26
   152.403,   24.29
   152.500,   24.31
   152.604,   24.48
   152.701,   24.56
   152.806,   24.74
   152.903,   24.81
   153.000,   24.79
   153.104,   24.75
   153.201,   24.67
   153.306,   24.62
   153.403,   24.65
   153.500,   24.75
   153.604,   24.99
   153.701,   25.11
   153.806,   25.16
   153.903,   25.09
   154.000,   24.96
   154.104,   24.99
   154.201,   24.94
   154.306,   24.93
   154.403,   24.97
   154.500,   25.04
   154.604,   25.21
   154.701,   25.37
   154.806,   25.48
   154.903,   25.50
   155.000,   25.43
   155.104,   25.35
   155.201,   25.28
   155.306,   25.28
   155.403,   25.34
   155.500,   25.48
   155.604,   25.67
   155.701,   25.83
   155.806,   25.95
   155.903,   25.99
   156.000,   26.03
   156.104,   26.01
   156.201,   25.93
   156.306,   25.89
   156.403,   25.96
   156.500,   26.10
   156.604,   26.29
   156.701,   26.39
   156.806,   26.45
   156.903,   26.47
   157.000,   26.51
   157.104,   26.54
   157.201,   26.48
   157.306,   26.44
   157.403,   26.49
   157.500,   26.62
   157.604,   26.81
   157.701,   26.93
   157.806,   26.98
   157.903,   27.00
   158.000,   27.05
   158.104,   27.00
   158.201,   26.92
   158.306,   26.88
   158.403,   26.89
   158.500,   26.95
   158.604,   27.10
   158.701,   27.24
   158.806,   27.32
   158.903,   27.34
   159.000,   27.39
   159.104,   27.34
   159.201,   27.27
   159.306,   27.21
   159.403,   27.22
   159.500,   27.30
   159.604,   27.49
   159.701,   27.69
   159.806,   27.76
   159.903,   27.77
   160.000,   27.77
   160.104,   27.75
   160.201,   27.77
   160.306,   27.73
   160.403,   27.68
   160.500,   27.55
   160.604,   27.56
   160.701,   27.60
   160.806,   27.60
   160.903,   27.52
   161.000,   27.39
   161.104,   27.25
   161.201,   27.10
   161.306,   27.01
   161.403,   26.99
   161.500,   27.01
   161.604,   27.04
   161.701,   27.11
   161.806,   27.25
   161.903,   27.19
   162.000,   27.11
   162.104,   26.97
   162.201,   26.84
   162.306,   26.78
   162.403,   26.83
   162.500,   26.97
