Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   103.500,      0.00,      0.42,      0.44,      0.64,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.62,      0.62,      0.62,      0.61,      0.61,      0.62,      0.63,      0.64,      0.65,      0.64,      0.63,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.63,      0.63,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   104.500,      0.00,      0.51,      0.49,      0.51,      0.58,      0.61,      0.61,      0.61,      0.62,      0.62,      0.63,      0.63,      0.63,      0.62,      0.62,      0.62,      0.62,      0.61,      0.64,      0.65,      0.65,      0.64,      0.64,      0.63,      0.62,      0.62,      0.62,      0.62,      0.63,      0.63,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   105.500,      0.00,      0.60,      0.59,      0.55,      0.60,      0.60,      0.60,      0.62,      0.62,      0.62,      0.62,      0.62,      0.61,      0.62,      0.62,      0.64,      0.64,      0.64,      0.65,      0.65,      0.64,      0.63,      0.63,      0.62,      0.62,      0.61,      0.61,      0.62,      0.62,      0.62,      0.62,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   106.500,      0.00,      0.62,      0.63,      0.60,      0.61,      0.63,      0.63,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.63,      0.63,      0.64,      0.63,      0.61,      0.61,      0.61,      0.64,      0.64,      0.64,      0.63,      0.63,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   107.500,      0.00,      0.58,      0.60,      0.61,      0.62,      0.63,      0.62,      0.61,      0.61,      0.61,      0.61,      0.60,      0.60,      0.61,      0.62,      0.62,      0.62,      0.62,      0.61,      0.62,      0.64,      0.64,      0.63,      0.63,      0.62,      0.62,      0.62,      0.61,      0.62,      0.62,      0.62,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   108.500,      0.00,      0.51,      0.54,      0.57,      0.60,      0.60,      0.63,      0.63,      0.62,      0.62,      0.61,      0.60,      0.60,      0.59,      0.59,      0.59,      0.59,      0.58,      0.61,      0.63,      0.64,      0.63,      0.62,      0.61,      0.61,      0.61,      0.61,      0.61,      0.62,      0.62,      0.62,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   109.500,      0.00,      0.46,      0.49,      0.55,      0.58,      0.59,      0.61,      0.62,      0.63,      0.62,      0.62,      0.61,      0.61,      0.60,      0.60,      0.60,      0.60,      0.61,      0.63,      0.64,      0.64,      0.63,      0.62,      0.62,      0.61,      0.61,      0.61,      0.61,      0.61,      0.63,      0.62,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   110.500,      0.00,      0.42,      0.46,      0.55,      0.57,      0.59,      0.60,      0.61,      0.62,      0.61,      0.62,      0.62,      0.62,      0.61,      0.60,      0.61,      0.62,      0.63,      0.64,      0.64,      0.64,      0.63,      0.62,      0.61,      0.61,      0.61,      0.61,      0.61,      0.62,      0.62,      0.62,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   111.500,      0.00,      0.40,      0.43,      0.58,      0.59,      0.60,      0.61,      0.62,      0.63,      0.63,      0.62,      0.61,      0.61,      0.61,      0.62,      0.62,      0.62,      0.64,      0.64,      0.64,      0.64,      0.63,      0.63,      0.62,      0.61,      0.61,      0.61,      0.61,      0.62,      0.62,      0.62,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   112.500,      0.00,      0.35,      0.39,      0.62,      0.62,      0.64,      0.64,      0.64,      0.64,      0.63,      0.62,      0.62,      0.62,      0.61,      0.61,      0.61,      0.62,      0.64,      0.65,      0.65,      0.64,      0.63,      0.62,      0.61,      0.61,      0.61,      0.60,      0.61,      0.62,      0.62,      0.62,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   113.500,      0.00,      0.31,      0.35,      0.66,      0.63,      0.65,      0.65,      0.64,      0.64,      0.63,      0.63,      0.62,      0.62,      0.61,      0.61,      0.61,      0.61,      0.65,      0.65,      0.65,      0.64,      0.63,      0.62,      0.61,      0.61,      0.61,      0.61,      0.61,      0.62,      0.62,      0.61,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   114.500,      0.00,      0.28,      0.32,      0.66,      0.63,      0.64,      0.64,      0.64,      0.64,      0.63,      0.62,      0.61,      0.61,      0.61,      0.61,      0.63,      0.63,      0.65,      0.65,      0.65,      0.63,      0.62,      0.61,      0.61,      0.61,      0.61,      0.61,      0.61,      0.62,      0.61,      0.61,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   115.500,      0.00,      0.28,      0.31,      0.66,      0.63,      0.60,      0.63,      0.64,      0.64,      0.63,      0.62,      0.62,      0.62,      0.62,      0.63,      0.63,      0.63,      0.64,      0.65,      0.65,      0.64,      0.63,      0.62,      0.61,      0.61,      0.61,      0.61,      0.61,      0.62,      0.61,      0.61,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   116.500,      0.00,      0.30,      0.31,      0.51,      0.54,      0.56,      0.58,      0.59,      0.60,      0.60,      0.60,      0.60,      0.60,      0.60,      0.60,      0.60,      0.60,      0.62,      0.65,      0.65,      0.64,      0.63,      0.62,      0.61,      0.60,      0.60,      0.60,      0.61,      0.61,      0.61,      0.61,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   117.500,      0.00,      0.37,      0.38,      0.47,      0.52,      0.52,      0.53,      0.55,      0.57,      0.58,      0.59,      0.61,      0.61,      0.61,      0.62,      0.63,      0.64,      0.64,      0.65,      0.64,      0.63,      0.62,      0.61,      0.61,      0.60,      0.60,      0.60,      0.60,      0.61,      0.61,      0.60,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   118.500,      0.00,      0.43,      0.43,      0.48,      0.59,      0.60,      0.61,      0.61,      0.61,      0.61,      0.61,      0.61,      0.61,      0.61,      0.62,      0.62,      0.62,      0.62,      0.63,      0.64,      0.64,      0.63,      0.62,      0.61,      0.60,      0.60,      0.60,      0.60,      0.61,      0.61,      0.60,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   119.500,      0.00,      0.43,      0.45,      0.60,      0.62,      0.61,      0.60,      0.60,      0.60,      0.60,      0.59,      0.59,      0.59,      0.59,      0.59,      0.59,      0.60,      0.59,      0.65,      0.64,      0.63,      0.62,      0.61,      0.60,      0.60,      0.59,      0.59,      0.60,      0.60,      0.60,      0.60,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   120.500,      0.00,      0.42,      0.44,      0.59,      0.58,      0.59,      0.59,      0.58,      0.58,      0.58,      0.57,      0.57,      0.57,      0.59,      0.59,      0.59,      0.60,      0.63,      0.65,      0.64,      0.63,      0.62,      0.61,      0.60,      0.60,      0.59,      0.59,      0.59,      0.60,      0.60,      0.59,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   121.500,      0.00,      0.38,      0.41,      0.50,      0.53,      0.56,      0.57,      0.56,      0.56,      0.56,      0.56,      0.56,      0.56,      0.57,      0.59,      0.60,      0.60,      0.62,      0.64,      0.64,      0.63,      0.62,      0.61,      0.60,      0.60,      0.59,      0.59,      0.59,      0.60,      0.59,      0.59,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   122.500,      0.00,      0.36,      0.39,      0.41,      0.45,      0.47,      0.51,      0.53,      0.54,      0.54,      0.54,      0.53,      0.54,      0.56,      0.60,      0.63,      0.63,      0.64,      0.64,      0.64,      0.63,      0.61,      0.60,      0.59,      0.59,      0.59,      0.58,      0.59,      0.59,      0.59,      0.59,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),   123.500,      0.00,      0.37,      0.39,      0.38,      0.43,      0.45,      0.48,      0.51,      0.53,      0.54,      0.56,      0.58,      0.60,      0.61,      0.62,      0.61,      0.62,      0.64,      0.64,      0.64,      0.63,      0.62,      0.61,      0.60,      0.59,      0.59,      0.58,      0.58,      0.59,      0.58,      0.58,      0.00,
