$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,T(C)
   174.306,   26.74
   174.403,   26.77
   174.500,   26.82
   174.604,   26.91
   174.701,   27.06
   174.806,   27.17
   174.903,   27.18
   175.000,   27.12
   175.104,   27.06
   175.201,   26.98
   175.306,   26.93
   175.403,   27.03
   175.500,   27.17
   175.604,   27.34
   175.701,   27.55
   175.806,   27.62
   175.903,   27.66
   176.000,   27.66
   176.104,   27.61
   176.201,   27.59
   176.306,   27.57
   176.403,   27.58
   176.500,   27.59
   176.604,   27.54
   176.701,   27.46
   176.806,   27.49
   176.903,   27.56
   177.000,   27.66
   177.104,   27.70
   177.201,   27.69
   177.306,   27.62
   177.403,   27.68
   177.500,   27.88
   177.604,   27.99
   177.701,   28.11
   177.806,   28.17
   177.903,   28.25
   178.000,   28.26
   178.104,   28.24
   178.201,   28.18
   178.306,   28.14
   178.403,   28.04
   178.500,   27.92
   178.604,   27.66
   178.701,   27.61
   178.806,   27.81
   178.903,   27.93
   179.000,   27.93
   179.104,   27.82
   179.201,   27.85
   179.306,   27.96
   179.403,   28.00
   179.500,   28.07
   179.604,   28.25
   179.701,   28.46
   179.806,   28.67
   179.903,   28.78
   180.000,   28.84
   180.104,   28.77
   180.201,   28.69
   180.306,   28.66
   180.403,   28.76
   180.500,   28.95
   180.604,   29.11
   180.701,   29.08
   180.806,   29.17
   180.903,   29.24
   181.000,   29.24
   181.104,   29.20
   181.201,   29.17
   181.306,   29.16
   181.403,   29.25
   181.500,   29.38
   181.604,   29.54
   181.701,   29.71
   181.806,   29.82
   181.903,   29.84
   182.000,   29.78
   182.104,   29.74
   182.201,   29.70
   182.306,   29.68
   182.403,   29.72
   182.500,   29.84
   182.604,   30.05
   182.701,   30.24
   182.806,   30.39
   182.903,   30.39
   183.000,   30.33
   183.104,   30.24
   183.201,   30.16
   183.306,   30.17
   183.403,   30.29
   183.500,   30.43
   183.604,   30.61
   183.701,   30.76
   183.806,   30.91
   183.903,   30.98
   184.000,   30.93
   184.104,   30.87
   184.201,   30.77
   184.306,   30.70
   184.403,   30.72
   184.500,   30.89
   184.604,   31.19
   184.701,   31.37
   184.806,   31.37
   184.903,   31.25
   185.000,   31.32
   185.104,   31.33
   185.201,   31.25
   185.306,   31.12
   185.403,   31.00
   185.500,   31.10
   185.604,   31.43
   185.701,   31.57
   185.806,   31.58
   185.903,   31.41
   186.000,   31.40
   186.104,   31.33
   186.201,   31.20
   186.306,   31.15
   186.403,   31.19
   186.500,   31.30
   186.604,   31.50
   186.701,   31.62
   186.806,   31.69
   186.903,   31.67
   187.000,   31.61
   187.104,   31.49
   187.201,   31.38
   187.306,   31.29
   187.403,   31.40
   187.500,   31.51
   187.604,   31.68
   187.701,   31.75
   187.806,   31.76
   187.903,   31.80
   188.000,   31.76
   188.104,   31.67
   188.201,   31.57
   188.306,   31.49
   188.403,   31.54
   188.500,   31.67
   188.604,   31.84
   188.701,   31.96
   188.806,   32.13
   188.903,   32.16
   189.000,   32.12
   189.104,   32.02
   189.201,   31.92
   189.306,   31.85
   189.403,   31.89
   189.500,   32.06
   189.604,   32.34
   189.701,   32.52
   189.806,   32.61
   189.903,   32.56
   190.000,   32.45
   190.104,   32.34
   190.201,   32.29
   190.306,   32.25
   190.403,   32.29
   190.500,   32.37
   190.604,   32.53
   190.701,   32.68
   190.806,   32.69
   190.903,   32.61
   191.000,   32.55
   191.104,   32.46
   191.201,   32.34
   191.306,   32.28
   191.403,   32.34
   191.500,   32.48
   191.604,   32.64
   191.701,   32.78
   191.806,   32.83
   191.903,   32.82
   192.000,   32.76
   192.104,   32.65
   192.201,   32.58
   192.306,   32.51
   192.403,   32.55
   192.500,   32.67
   192.604,   32.86
   192.701,   33.01
   192.806,   33.09
   192.903,   33.04
   193.000,   32.92
   193.104,   32.86
   193.201,   32.79
   193.306,   32.68
   193.403,   32.72
   193.500,   32.86
   193.604,   33.08
   193.701,   33.21
   193.806,   33.21
   193.903,   33.12
   194.000,   33.02
   194.104,   32.90
   194.201,   32.81
   194.306,   32.69
   194.403,   32.73
   194.500,   32.85
   194.604,   33.04
   194.701,   33.20
   194.806,   33.27
   194.903,   33.20
   195.000,   33.07
   195.104,   32.95
   195.201,   32.85
   195.306,   32.81
   195.403,   32.86
   195.500,   32.98
   195.604,   33.15
   195.701,   33.19
   195.806,   33.14
   195.903,   33.21
   196.000,   33.16
   196.104,   33.06
   196.201,   32.93
   196.306,   32.83
   196.403,   32.90
   196.500,   33.06
   196.604,   33.32
   196.701,   33.52
   196.806,   33.52
   196.903,   33.39
   197.000,   33.26
   197.104,   33.22
   197.201,   33.16
   197.306,   33.09
   197.403,   33.11
   197.500,   33.21
