JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    77.000,   600.000,   123.799,     7.664,     0.009,    12.859,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.941,    72.260,     0.000,   349.046,   347.138,   -34.081,   -36.270,     0.000,
    77.104,   600.000,   123.799,     7.716,     0.007,    13.011,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.965,    53.960,     0.000,   342.569,   347.044,   -28.905,   -29.530,     0.000,
    77.201,   600.000,   123.798,     7.758,     0.005,    12.646,     0.000,     0.450,    51.448,  2866.000,     1.000,     7.988,    39.552,     0.000,   336.348,   346.965,   -25.249,   -24.919,     0.000,
    77.306,   600.000,   123.799,     7.793,     0.002,    13.478,    33.541,     0.450,    51.449,  2866.000,     1.000,     8.013,    62.670,    31.642,   328.608,   346.910,   -24.269,   -25.059,     0.000,
    77.403,   600.000,   123.802,     7.818,    -0.016,    11.220,   194.139,     0.450,    51.452,  2866.000,     1.000,     8.052,   191.045,   183.150,   317.539,   347.290,   -14.645,   -23.000,     0.000,
    77.500,   600.000,   123.800,     7.859,    -0.027,    11.866,   288.250,     0.450,    51.450,  2866.000,     1.000,     8.114,   195.544,   271.934,   297.739,   347.797,    20.886,     5.446,     0.000,
    77.604,   600.000,   123.800,     7.915,    -0.039,    12.865,   602.815,     0.450,    51.450,  2866.000,     1.000,     8.210,   493.617,   568.693,   284.787,   349.058,    31.658,   -20.852,     0.000,
    77.701,   600.000,   123.800,     7.957,    -0.049,    12.434,   251.980,     0.450,    51.450,  2866.000,     1.000,     8.292,   130.620,   237.717,   278.853,   350.050,    56.495,   -20.595,     0.000,
    77.806,   600.000,   123.800,     8.001,    -0.053,    12.510,     0.000,     0.450,    51.450,  2866.000,     1.000,     8.346,  -147.325,     0.000,   262.686,   350.088,    61.254,    -1.332,     0.000,
    77.903,   600.000,   123.800,     8.069,    -0.050,    12.504,     0.000,     0.450,    51.450,  2866.000,     1.000,     8.391,  -164.993,     0.000,   246.440,   349.950,    48.935,    12.548,     0.000,
    78.000,   600.000,   123.799,     8.155,    -0.042,    12.502,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.445,  -168.194,     0.000,   241.951,   349.756,    45.457,    14.931,     0.000,
    78.104,   600.000,   123.800,     8.284,    -0.036,    12.768,     0.000,     0.450,    51.450,  2866.000,     1.000,     8.524,  -190.886,     0.000,   234.687,   349.537,    48.011,    28.024,     0.000,
    78.201,   600.000,   123.800,     8.430,    -0.034,    12.595,     0.000,     0.450,    51.450,  2866.000,     1.000,     8.601,  -206.098,     0.000,   228.708,   349.391,    48.672,    36.743,     0.000,
    78.306,   600.000,   123.800,     8.589,    -0.032,    12.440,    99.668,     0.450,    51.450,  2866.000,     1.000,     8.674,   -79.924,    94.026,   238.048,   349.315,    39.381,    23.302,     0.000,
    78.403,   600.000,   123.800,     8.702,    -0.030,    12.668,   560.513,     0.450,    51.450,  2866.000,     1.000,     8.758,   413.250,   528.786,   263.384,   349.845,    31.263,    -2.188,     0.000,
    78.500,   600.000,   123.799,     8.769,    -0.025,    12.314,   828.739,     0.450,    51.449,  2866.000,     1.000,     8.866,   679.396,   781.830,   283.097,   351.344,    53.320,   -19.135,     0.000,
    78.604,   600.000,   123.799,     8.798,    -0.018,    12.594,   676.360,     0.450,    51.449,  2866.000,     1.000,     8.963,   540.695,   638.076,   292.369,   352.985,    61.508,   -24.743,     0.000,
