 JDAY,ELEVATION(m),TEMPERATURE(C)
   78.5000,  104.35,    8.80,
   78.5000,  102.35,    8.79,
   78.5000,  100.35,    8.79,
   78.5000,   98.35,    8.79,
   78.5000,   96.35,    8.61,
   78.5000,   94.35,    8.25,
   78.5000,   92.35,    7.86,
   78.5000,   90.35,    7.52,
   78.5000,   88.35,    7.26,
   78.5000,   86.35,    7.08,
   78.5000,   84.35,    6.98,
   78.5000,   82.35,    6.91,
   78.5000,   80.35,    6.86,
   78.5000,   78.35,    6.82,
   78.5000,   76.35,    6.79,
   78.5000,   74.35,    6.78,
   78.5000,   72.35,    6.78,
   78.5000,   70.35,    6.78,
   78.5000,   68.35,    6.78,
   79.5000,  123.90,  -99.00,
   79.5000,  123.80,    9.11,
   79.5000,  120.35,    8.98,
   79.5000,  118.35,    8.87,
   79.5000,  116.35,    8.84,
   79.5000,  114.35,    8.64,
   79.5000,  112.35,    8.25,
   79.5000,  110.35,    7.80,
   79.5000,  108.35,    7.52,
   79.5000,  106.35,    7.43,
   79.5000,  104.35,    7.41,
   79.5000,  102.35,    7.39,
   79.5000,  100.35,    7.33,
   79.5000,   98.35,    7.26,
   79.5000,   96.35,    7.19,
   79.5000,   94.35,    7.13,
   79.5000,   92.35,    7.09,
   79.5000,   90.35,    7.06,
   79.5000,   88.35,    7.03,
   79.5000,   86.35,    7.00,
   79.5000,   84.35,    6.97,
   79.5000,   82.35,    6.95,
   79.5000,   80.35,    6.92,
   79.5000,   78.35,    6.88,
   79.5000,   76.35,    6.85,
   79.5000,   74.35,    6.82,
   79.5000,   72.35,    6.80,
   79.5000,   70.35,    6.79,
   79.5000,   68.35,    6.79,
   80.5000,  123.90,  -99.00,
   80.5000,  123.80,    9.20,
   80.5000,  120.35,    8.97,
   80.5000,  118.35,    8.72,
   80.5000,  116.35,    8.59,
   80.5000,  114.35,    8.42,
   80.5000,  112.35,    8.16,
   80.5000,  110.35,    7.82,
   80.5000,  108.35,    7.56,
   80.5000,  106.35,    7.43,
   80.5000,  104.35,    7.33,
   80.5000,  102.35,    7.22,
   80.5000,  100.35,    7.14,
   80.5000,   98.35,    7.10,
   80.5000,   96.35,    7.06,
   80.5000,   94.35,    7.03,
   80.5000,   92.35,    7.01,
   80.5000,   90.35,    6.99,
   80.5000,   88.35,    6.97,
   80.5000,   86.35,    6.96,
   80.5000,   84.35,    6.93,
   80.5000,   82.35,    6.91,
   80.5000,   80.35,    6.89,
   80.5000,   78.35,    6.87,
   80.5000,   76.35,    6.85,
   80.5000,   74.35,    6.82,
   80.5000,   72.35,    6.81,
   80.5000,   70.35,    6.81,
   80.5000,   68.35,    6.81,
   81.5000,  123.90,  -99.00,
   81.5000,  123.80,    9.84,
   81.5000,  120.35,    9.67,
   81.5000,  118.35,    9.56,
   81.5000,  116.35,    9.50,
   81.5000,  114.35,    9.48,
   81.5000,  112.35,    9.48,
   81.5000,  110.35,    9.48,
   81.5000,  108.35,    9.48,
   81.5000,  106.35,    9.48,
   81.5000,  104.35,    9.48,
   81.5000,  102.35,    9.48,
   81.5000,  100.35,    9.48,
   81.5000,   98.35,    9.48,
   81.5000,   96.35,    9.19,
   81.5000,   94.35,    8.07,
   81.5000,   92.35,    7.33,
   81.5000,   90.35,    7.11,
   81.5000,   88.35,    7.03,
   81.5000,   86.35,    6.99,
   81.5000,   84.35,    6.96,
   81.5000,   82.35,    6.93,
   81.5000,   80.35,    6.90,
   81.5000,   78.35,    6.88,
   81.5000,   76.35,    6.85,
   81.5000,   74.35,    6.84,
   81.5000,   72.35,    6.84,
   81.5000,   70.35,    6.84,
   81.5000,   68.35,    6.84,
   82.5000,  123.90,  -99.00,
   82.5000,  123.80,   10.42,
   82.5000,  120.35,   10.20,
   82.5000,  118.35,   10.05,
   82.5000,  116.35,    9.83,
   82.5000,  114.35,    9.59,
   82.5000,  112.35,    9.41,
   82.5000,  110.35,    9.13,
   82.5000,  108.35,    8.69,
   82.5000,  106.35,    8.10,
   82.5000,  104.35,    7.51,
   82.5000,  102.35,    7.13,
   82.5000,  100.35,    7.06,
   82.5000,   98.35,    7.06,
   82.5000,   96.35,    7.05,
   82.5000,   94.35,    7.04,
   82.5000,   92.35,    7.02,
   82.5000,   90.35,    7.00,
   82.5000,   88.35,    6.98,
   82.5000,   86.35,    6.96,
   82.5000,   84.35,    6.94,
   82.5000,   82.35,    6.92,
   82.5000,   80.35,    6.90,
   82.5000,   78.35,    6.89,
   82.5000,   76.35,    6.87,
   82.5000,   74.35,    6.86,
   82.5000,   72.35,    6.85,
   82.5000,   70.35,    6.85,
   82.5000,   68.35,    6.85,
   83.5000,  123.90,  -99.00,
   83.5000,  123.80,    9.71,
   83.5000,  120.35,    9.39,
   83.5000,  118.35,    9.04,
   83.5000,  116.35,    9.04,
   83.5000,  114.35,    8.80,
   83.5000,  112.35,    8.46,
   83.5000,  110.35,    8.02,
   83.5000,  108.35,    7.61,
   83.5000,  106.35,    7.36,
   83.5000,  104.35,    7.25,
   83.5000,  102.35,    7.19,
   83.5000,  100.35,    7.15,
   83.5000,   98.35,    7.13,
   83.5000,   96.35,    7.11,
   83.5000,   94.35,    7.10,
   83.5000,   92.35,    7.08,
   83.5000,   90.35,    7.07,
   83.5000,   88.35,    7.06,
   83.5000,   86.35,    7.05,
   83.5000,   84.35,    7.03,
   83.5000,   82.35,    7.02,
   83.5000,   80.35,    6.99,
   83.5000,   78.35,    6.95,
   83.5000,   76.35,    6.92,
   83.5000,   74.35,    6.90,
   83.5000,   72.35,    6.87,
   83.5000,   70.35,    6.87,
   83.5000,   68.35,    6.87,
   84.5000,  123.90,  -99.00,
   84.5000,  123.80,    9.42,
   84.5000,  120.35,    9.38,
   84.5000,  118.35,    9.35,
   84.5000,  116.35,    9.32,
   84.5000,  114.35,    9.30,
   84.5000,  112.35,    9.27,
   84.5000,  110.35,    9.25,
   84.5000,  108.35,    9.22,
   84.5000,  106.35,    9.19,
   84.5000,  104.35,    9.11,
   84.5000,  102.35,    8.99,
   84.5000,  100.35,    8.84,
   84.5000,   98.35,    8.69,
   84.5000,   96.35,    8.56,
   84.5000,   94.35,    8.37,
   84.5000,   92.35,    8.10,
   84.5000,   90.35,    7.79,
   84.5000,   88.35,    7.50,
   84.5000,   86.35,    7.30,
   84.5000,   84.35,    7.18,
   84.5000,   82.35,    7.11,
   84.5000,   80.35,    7.07,
   84.5000,   78.35,    7.04,
   84.5000,   76.35,    6.99,
   84.5000,   74.35,    6.95,
   84.5000,   72.35,    6.90,
   84.5000,   70.35,    6.88,
   84.5000,   68.35,    6.88,
   85.5000,  123.90,  -99.00,
   85.5000,  123.80,   10.03,
   85.5000,  120.35,    9.97,
   85.5000,  118.35,    9.95,
   85.5000,  116.35,    9.95,
   85.5000,  114.35,    9.94,
   85.5000,  112.35,    9.94,
   85.5000,  110.35,    9.94,
   85.5000,  108.35,    9.94,
   85.5000,  106.35,    9.94,
   85.5000,  104.35,    9.94,
   85.5000,  102.35,    9.94,
   85.5000,  100.35,    9.93,
   85.5000,   98.35,    9.84,
   85.5000,   96.35,    9.37,
   85.5000,   94.35,    8.40,
   85.5000,   92.35,    7.47,
   85.5000,   90.35,    7.15,
   85.5000,   88.35,    7.12,
   85.5000,   86.35,    7.10,
   85.5000,   84.35,    7.06,
   85.5000,   82.35,    7.04,
   85.5000,   80.35,    7.01,
   85.5000,   78.35,    6.98,
   85.5000,   76.35,    6.95,
   85.5000,   74.35,    6.91,
   85.5000,   72.35,    6.90,
   85.5000,   70.35,    6.90,
   85.5000,   68.35,    6.90,
   86.5000,  123.90,  -99.00,
   86.5000,  123.80,    9.80,
   86.5000,  120.35,    9.70,
   86.5000,  118.35,    9.48,
   86.5000,  116.35,    9.04,
   86.5000,  114.35,    8.64,
   86.5000,  112.35,    8.22,
   86.5000,  110.35,    7.84,
   86.5000,  108.35,    7.62,
   86.5000,  106.35,    7.49,
   86.5000,  104.35,    7.39,
   86.5000,  102.35,    7.32,
   86.5000,  100.35,    7.28,
   86.5000,   98.35,    7.25,
   86.5000,   96.35,    7.23,
   86.5000,   94.35,    7.20,
   86.5000,   92.35,    7.18,
   86.5000,   90.35,    7.18,
   86.5000,   88.35,    7.17,
   86.5000,   86.35,    7.15,
   86.5000,   84.35,    7.12,
   86.5000,   82.35,    7.09,
   86.5000,   80.35,    7.06,
   86.5000,   78.35,    7.04,
   86.5000,   76.35,    7.02,
   86.5000,   74.35,    6.98,
   86.5000,   72.35,    6.94,
   86.5000,   70.35,    6.92,
   86.5000,   68.35,    6.92,
   87.5000,  123.90,  -99.00,
   87.5000,  123.80,    9.32,
   87.5000,  120.35,    9.11,
   87.5000,  118.35,    8.89,
   87.5000,  116.35,    8.82,
   87.5000,  114.35,    8.74,
   87.5000,  112.35,    8.65,
   87.5000,  110.35,    8.55,
   87.5000,  108.35,    8.44,
   87.5000,  106.35,    8.32,
   87.5000,  104.35,    8.17,
   87.5000,  102.35,    8.00,
   87.5000,  100.35,    7.82,
   87.5000,   98.35,    7.63,
   87.5000,   96.35,    7.47,
   87.5000,   94.35,    7.35,
   87.5000,   92.35,    7.27,
   87.5000,   90.35,    7.22,
   87.5000,   88.35,    7.18,
   87.5000,   86.35,    7.15,
   87.5000,   84.35,    7.12,
   87.5000,   82.35,    7.08,
   87.5000,   80.35,    7.05,
   87.5000,   78.35,    7.03,
   87.5000,   76.35,    7.01,
   87.5000,   74.35,    6.99,
   87.5000,   72.35,    6.95,
   87.5000,   70.35,    6.94,
   87.5000,   68.35,    6.94,
   88.5000,  123.90,  -99.00,
   88.5000,  123.80,    9.62,
   88.5000,  120.35,    9.37,
   88.5000,  118.35,    9.24,
   88.5000,  116.35,    9.16,
   88.5000,  114.35,    9.08,
   88.5000,  112.35,    9.01,
   88.5000,  110.35,    8.98,
   88.5000,  108.35,    8.97,
   88.5000,  106.35,    8.92,
   88.5000,  104.35,    8.78,
   88.5000,  102.35,    8.56,
   88.5000,  100.35,    8.23,
   88.5000,   98.35,    7.85,
   88.5000,   96.35,    7.54,
   88.5000,   94.35,    7.35,
   88.5000,   92.35,    7.25,
   88.5000,   90.35,    7.19,
   88.5000,   88.35,    7.16,
   88.5000,   86.35,    7.12,
   88.5000,   84.35,    7.09,
   88.5000,   82.35,    7.06,
   88.5000,   80.35,    7.04,
   88.5000,   78.35,    7.03,
   88.5000,   76.35,    7.01,
   88.5000,   74.35,    6.99,
   88.5000,   72.35,    6.96,
   88.5000,   70.35,    6.96,
   88.5000,   68.35,    6.96,
   89.5000,  123.90,  -99.00,
   89.5000,  123.80,   10.54,
   89.5000,  120.35,   10.39,
   89.5000,  118.35,   10.34,
   89.5000,  116.35,   10.29,
   89.5000,  114.35,   10.09,
   89.5000,  112.35,    9.73,
   89.5000,  110.35,    9.44,
   89.5000,  108.35,    9.21,
   89.5000,  106.35,    9.02,
   89.5000,  104.35,    8.79,
   89.5000,  102.35,    8.43,
   89.5000,  100.35,    8.01,
   89.5000,   98.35,    7.69,
   89.5000,   96.35,    7.47,
   89.5000,   94.35,    7.32,
   89.5000,   92.35,    7.24,
   89.5000,   90.35,    7.19,
   89.5000,   88.35,    7.15,
   89.5000,   86.35,    7.12,
   89.5000,   84.35,    7.08,
   89.5000,   82.35,    7.06,
   89.5000,   80.35,    7.05,
   89.5000,   78.35,    7.03,
   89.5000,   76.35,    7.02,
   89.5000,   74.35,    7.00,
   89.5000,   72.35,    6.97,
   89.5000,   70.35,    6.97,
   89.5000,   68.35,    6.97,
   90.5000,  123.90,  -99.00,
   90.5000,  123.80,    9.99,
   90.5000,  120.35,    9.95,
   90.5000,  118.35,    9.93,
   90.5000,  116.35,    9.88,
   90.5000,  114.35,    9.71,
   90.5000,  112.35,    9.46,
   90.5000,  110.35,    9.22,
   90.5000,  108.35,    8.95,
   90.5000,  106.35,    8.47,
   90.5000,  104.35,    7.90,
   90.5000,  102.35,    7.52,
   90.5000,  100.35,    7.35,
   90.5000,   98.35,    7.26,
   90.5000,   96.35,    7.20,
   90.5000,   94.35,    7.17,
   90.5000,   92.35,    7.15,
   90.5000,   90.35,    7.12,
   90.5000,   88.35,    7.10,
   90.5000,   86.35,    7.08,
   90.5000,   84.35,    7.07,
   90.5000,   82.35,    7.05,
   90.5000,   80.35,    7.04,
   90.5000,   78.35,    7.04,
   90.5000,   76.35,    7.03,
   90.5000,   74.35,    7.01,
   90.5000,   72.35,    6.99,
   90.5000,   70.35,    6.99,
   90.5000,   68.35,    6.99,
   91.5000,  123.90,  -99.00,
   91.5000,  123.80,   10.43,
   91.5000,  120.35,   10.32,
   91.5000,  118.35,   10.25,
   91.5000,  116.35,   10.22,
   91.5000,  114.35,   10.20,
   91.5000,  112.35,   10.20,
   91.5000,  110.35,   10.20,
   91.5000,  108.35,   10.20,
   91.5000,  106.35,   10.20,
   91.5000,  104.35,   10.20,
   91.5000,  102.35,   10.20,
   91.5000,  100.35,   10.20,
   91.5000,   98.35,   10.20,
   91.5000,   96.35,   10.20,
   91.5000,   94.35,   10.09,
   91.5000,   92.35,    8.76,
   91.5000,   90.35,    7.60,
   91.5000,   88.35,    7.25,
   91.5000,   86.35,    7.16,
   91.5000,   84.35,    7.13,
   91.5000,   82.35,    7.10,
   91.5000,   80.35,    7.08,
   91.5000,   78.35,    7.06,
   91.5000,   76.35,    7.05,
   91.5000,   74.35,    7.04,
   91.5000,   72.35,    7.01,
   91.5000,   70.35,    7.00,
   91.5000,   68.35,    7.00,
   92.5000,  123.90,  -99.00,
   92.5000,  123.80,   10.92,
   92.5000,  120.35,   10.54,
